mhjd,mag_A,magerr_A,mag_B,magerr_B,telescope
53878.99071,-11.67888,0.008,-11.44413,0.0082,Mercator
53879.79188,-11.67306,0.0321,-11.43007,0.0341,MaidanakSITE
53886.74768,-11.66309,0.014,-11.38427,0.0152,MaidanakSITE
53887.70692,-11.67465,0.0137,-11.45025,0.0137,MaidanakSITE
53888.98393,-11.67083,0.0116,-11.47139,0.012,Mercator
53889.99092,-11.65422,0.0086,-11.45566,0.009,Mercator
53890.76487,-11.66576,0.0124,-11.42367,0.013,MaidanakSITE
53893.984,-11.66803,0.0097,-11.49454,0.0103,Mercator
53894.77862,-11.66458,0.0283,-11.46008,0.0266,MaidanakSITE
53894.97189,-11.6284,0.0107,-11.47585,0.0108,Mercator
53897.94581,-11.62503,0.0115,-11.44479,0.0123,Mercator
53899.75821,-11.67019,0.0211,-11.44249,0.0182,MaidanakSITE
53903.76736,-11.64285,0.0217,-11.41875,0.0216,MaidanakSITE
53907.76362,-11.64796,0.0234,-11.42815,0.0235,MaidanakSITE
53909.96942,-11.59128,0.0099,-11.46013,0.0101,Mercator
53912.71304,-11.60151,0.0089,-11.34264,0.0135,MaidanakSITE
53916.7256,-11.58045,0.0137,-11.30289,0.0167,MaidanakSITE
53918.95958,-11.59164,0.0158,-11.46029,0.016,Mercator
53919.93564,-11.59211,0.0137,-11.46201,0.0138,Mercator
53920.68842,-11.51955,0.0416,-11.24956,0.058,MaidanakSITE
53924.91419,-11.52825,0.0167,-11.42349,0.0171,Mercator
53925.96832,-11.61349,0.0182,-11.4401,0.0198,Mercator
53927.90046,-11.58776,0.0145,-11.43241,0.0149,Mercator
53930.91897,-11.56408,0.0157,-11.42029,0.0158,Mercator
53932.68554,-11.60668,0.0169,-11.34842,0.0169,MaidanakSITE
54075.27786,-11.66966,0.0195,-11.19879,0.0201,Mercator
54082.18217,-11.65582,0.0184,-11.1696,0.0188,Mercator
54084.22718,-11.65892,0.02,-11.16553,0.0204,Mercator
54100.04718,-11.60115,0.0219,-11.0744,0.0236,MaidanakSI
54103.26117,-11.66606,0.0167,-11.17469,0.018,Mercator
54110.166,-11.64991,0.0179,-11.19506,0.0179,Mercator
54111.22843,-11.64343,0.0174,-11.1961,0.0183,Mercator
54117.02794,-11.58561,0.0254,-11.11408,0.0265,MaidanakSI
54117.22674,-11.6328,0.0155,-11.19584,0.0158,Mercator
54118.29232,-11.62381,0.0222,-11.18212,0.0231,Mercator
54119.24916,-11.64487,0.0166,-11.24646,0.0169,Mercator
54120.17412,-11.63428,0.0162,-11.20827,0.0164,Mercator
54121.2364,-11.59896,0.0172,-11.20759,0.0195,Mercator
54122.18498,-11.61956,0.0174,-11.20254,0.0176,Mercator
54130.2502,-11.59421,0.0171,-11.18809,0.0329,Mercator
54139.22699,-11.58841,0.0155,-11.18913,0.0157,Mercator
54141.25662,-11.58705,0.0155,-11.18622,0.0157,Mercator
54143.21253,-11.58212,0.0157,-11.19621,0.0159,Mercator
54145.23841,-11.57993,0.0116,-11.18682,0.0121,Mercator
54153.17706,-11.56156,0.0147,-11.19135,0.0149,Mercator
54154.21526,-11.57656,0.0145,-11.20151,0.0146,Mercator
54166.25119,-11.56138,0.0123,-11.25494,0.0134,Mercator
54167.07237,-11.54496,0.0134,-11.24315,0.0138,Mercator
54170.03088,-11.55694,0.0121,-11.28645,0.0124,Mercator
54171.25936,-11.56047,0.0122,-11.30173,0.0125,Mercator
54201.84086,-11.49354,0.0063,-11.30826,0.0071,MaidanakSI
54203.14019,-11.52631,0.0108,-11.3395,0.0109,Mercator
54207.84308,-11.52473,0.0162,-11.34946,0.0091,MaidanakSI
54210.82515,-11.52727,0.0113,-11.32894,0.0118,MaidanakSI
54211.03248,-11.5331,0.0111,-11.32714,0.0113,Mercator
54214.77343,-11.54188,0.0125,-11.34632,0.0142,MaidanakSI
54215.15458,-11.51113,0.0097,-11.32104,0.0099,Mercator
54225.84438,-11.4661,0.0122,-11.22202,0.0264,MaidanakSI
54228.8374,-11.51604,0.01,-11.27705,0.0107,MaidanakSI
54231.62065,-11.47932,0.0219,-11.25437,0.0243,HCT
54233.78847,-11.48657,0.0232,-11.20723,0.0286,HCT
54233.81459,-11.51278,0.0068,-11.27105,0.0081,MaidanakSI
54235.72836,-11.46102,0.0461,-11.27443,0.0193,HCT
54238.64818,-11.50079,0.0109,-11.22762,0.0135,HCT
54239.67002,-11.50844,0.0143,-11.24762,0.0172,HCT
54242.72123,-11.49802,0.0118,-11.20843,0.0137,HCT
54244.66002,-11.50055,0.0174,-11.24121,0.0215,HCT
54248.79284,-11.52074,0.0186,-11.23322,0.0091,MaidanakSI
54249.65152,-11.53682,0.0179,-11.21988,0.0233,HCT
54259.95444,-11.54391,0.0116,-11.20146,0.0118,Mercator
54260.96089,-11.54579,0.0094,-11.20886,0.0094,Mercator
54261.78835,-11.54562,0.008,-11.19819,0.0092,MaidanakSI
54262.92038,-11.54277,0.0127,-11.2038,0.0129,Mercator
54263.96108,-11.55845,0.0106,-11.22529,0.0109,Mercator
54265.94538,-11.51905,0.0099,-11.20073,0.0103,Mercator
54266.91676,-11.5432,0.0102,-11.21064,0.0106,Mercator
54267.96826,-11.54238,0.0097,-11.20643,0.0101,Mercator
54268.96966,-11.55166,0.0111,-11.21294,0.0114,Mercator
54293.64774,-11.57308,0.0114,-11.12945,0.013,HCT
